step,loss,hidden_0_n0,hidden_0_n1,hidden_0_n2,hidden_0_n3,hidden_0_n4,hidden_0_n5,hidden_0_n6,hidden_0_n7,hidden_0_n8,hidden_0_n9,hidden_0_n10,hidden_0_n11,hidden_0_n12,hidden_0_n13,hidden_0_n14,hidden_0_n15,hidden_0_n16,hidden_0_n17,hidden_0_n18,hidden_0_n19,hidden_0_n20,hidden_0_n21,hidden_0_n22,hidden_0_n23,hidden_0_n24,hidden_0_n25,hidden_0_n26,hidden_0_n27,hidden_0_n28,hidden_0_n29,hidden_0_n30,hidden_0_n31,hidden_0_n32,hidden_0_n33,hidden_0_n34,hidden_0_n35,hidden_0_n36,hidden_0_n37,hidden_0_n38,hidden_0_n39,hidden_0_n40,hidden_0_n41,hidden_0_n42,hidden_0_n43,hidden_0_n44,hidden_0_n45,hidden_0_n46,hidden_0_n47,hidden_0_n48,hidden_0_n49,hidden_0_n50,hidden_0_n51,hidden_0_n52,hidden_0_n53,hidden_0_n54,hidden_0_n55,hidden_0_n56,hidden_0_n57,hidden_0_n58,hidden_0_n59,hidden_0_n60,hidden_0_n61,hidden_0_n62,hidden_0_n63,hidden_0_n64,hidden_0_n65,hidden_0_n66,hidden_0_n67,hidden_0_n68,hidden_0_n69,hidden_0_n70,hidden_0_n71,hidden_0_n72,hidden_0_n73,hidden_0_n74,hidden_0_n75,hidden_0_n76,hidden_0_n77,hidden_0_n78,hidden_0_n79,hidden_0_n80,hidden_0_n81,hidden_0_n82,hidden_0_n83,hidden_0_n84,hidden_0_n85,hidden_0_n86,hidden_0_n87,hidden_0_n88,hidden_0_n89,hidden_0_n90,hidden_0_n91,hidden_0_n92,hidden_0_n93,hidden_0_n94,hidden_0_n95,hidden_0_n96,hidden_0_n97,hidden_0_n98,hidden_0_n99,hidden_0_n100,hidden_0_n101,hidden_0_n102,hidden_0_n103,hidden_0_n104,hidden_0_n105,hidden_0_n106,hidden_0_n107,hidden_0_n108,hidden_0_n109,hidden_0_n110,hidden_0_n111,hidden_0_n112,hidden_0_n113,hidden_0_n114,hidden_0_n115,hidden_0_n116,hidden_0_n117,hidden_0_n118,hidden_0_n119,hidden_0_n120,hidden_0_n121,hidden_0_n122,hidden_0_n123,hidden_0_n124,hidden_0_n125,hidden_0_n126,hidden_0_n127,hidden_1_n0,hidden_1_n1,hidden_1_n2,hidden_1_n3,hidden_1_n4,hidden_1_n5,hidden_1_n6,hidden_1_n7,hidden_1_n8,hidden_1_n9,hidden_1_n10,hidden_1_n11,hidden_1_n12,hidden_1_n13,hidden_1_n14,hidden_1_n15,hidden_1_n16,hidden_1_n17,hidden_1_n18,hidden_1_n19,hidden_1_n20,hidden_1_n21,hidden_1_n22,hidden_1_n23,hidden_1_n24,hidden_1_n25,hidden_1_n26,hidden_1_n27,hidden_1_n28,hidden_1_n29,hidden_1_n30,hidden_1_n31,hidden_1_n32,hidden_1_n33,hidden_1_n34,hidden_1_n35,hidden_1_n36,hidden_1_n37,hidden_1_n38,hidden_1_n39,hidden_1_n40,hidden_1_n41,hidden_1_n42,hidden_1_n43,hidden_1_n44,hidden_1_n45,hidden_1_n46,hidden_1_n47,hidden_1_n48,hidden_1_n49,hidden_1_n50,hidden_1_n51,hidden_1_n52,hidden_1_n53,hidden_1_n54,hidden_1_n55,hidden_1_n56,hidden_1_n57,hidden_1_n58,hidden_1_n59,hidden_1_n60,hidden_1_n61,hidden_1_n62,hidden_1_n63,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9
87,0.018955,-0.747493,-0.629335,-1.358044,0.397594,-1.115108,1.722272,1.37505,-3.186312,1.388439,0.573944,-4.156416,-5.640772,0.095215,1.581648,-0.640886,0.305362,-3.339351,-0.638428,-1.088727,4.141735,2.63713,-1.739968,3.913224,-4.322577,0.290517,-1.159927,0.915095,2.144647,1.979388,-1.495952,1.538426,1.461349,2.19786,1.082162,-0.109847,1.124983,1.111794,0.848507,1.117389,-3.318672,0.983623,-2.160871,-2.442779,2.480306,0.468406,2.405687,1.191107,-0.434133,3.386708,2.602849,1.05756,1.511203,1.652559,1.285581,3.916393,-0.431463,-0.122536,-0.812808,-1.252733,-2.619604,-4.696736,-3.037977,-2.023451,2.005938,-0.063944,1.245513,-0.979481,1.733064,0.949466,1.635455,2.28418,-1.743193,-4.787124,3.632153,-2.70754,0.13749,-0.477126,-0.321232,1.592993,0.287989,-6.079835,-0.651401,0.597259,-0.762166,1.826021,0.542938,-3.739133,0.996112,3.39973,-0.137535,-2.300674,0.714463,-1.614919,-1.548497,3.047192,2.541543,2.046059,0.145886,0.06363,2.463196,-2.800226,0.115175,2.459336,0.08638,-2.679415,2.669135,0.316018,1.814507,0.316564,-1.236413,-1.759872,5.095234,-3.508184,0.006195,4.118583,0.878948,-3.36903,1.752131,1.266084,-0.788978,-1.231288,-0.30751,-5.696183,3.746589,-2.768403,0.056675,-3.909509,-0.344418,2.47272,3.672864,1.906313,3.878839,-1.981859,2.784863,-0.643415,4.965518,4.424713,-1.944339,4.631145,-0.205677,2.748489,0.484181,2.760021,-3.493028,2.317468,2.420667,1.762516,-3.443129,0.806402,2.551398,1.605466,-0.057392,0.266324,-4.896192,2.989352,4.553611,3.59598,2.562677,4.710928,2.797324,4.652299,1.618213,1.467434,-2.40788,2.032234,1.012236,3.897472,3.279965,-0.879762,6.250037,6.3936,1.906535,2.091518,2.685051,4.48826,4.5553,2.994846,3.385479,4.027064,0.315338,0.935626,3.78619,1.665525,2.644328,1.894741,1.44907,2.288238,3.044659,1.826452,0.860053,5.574113,0.616824,-5.38433,-3.895476,-1.078586,-1.971779,-6.092928,-3.78342,-5.718539,-2.992025,-3.046793,-1.566823
88,0.022925,-0.798269,-0.352868,-0.566858,0.355404,-0.530815,1.702739,1.407844,-3.006213,1.601393,0.793343,-4.647198,-4.354401,0.521381,1.646418,-0.113434,0.275038,-2.002219,-0.604463,-0.911846,4.106084,2.850454,-0.771519,3.976619,-4.358448,0.287989,-0.67575,1.085184,2.808037,1.534225,-1.938224,1.257337,1.109269,2.559817,1.640907,0.651948,0.700514,1.077985,0.594941,0.357876,-3.568395,1.10513,-2.09474,-1.588798,2.31306,0.73874,2.207715,1.320848,0.118815,3.406276,2.114371,1.453987,1.356106,2.22956,1.239402,4.069505,0.080311,-0.304224,-0.667461,-1.355593,-2.539691,-3.428708,-2.080987,-1.725296,2.101734,1.225522,1.049419,-0.22157,1.949097,0.875705,1.5181,2.067259,-1.374479,-5.018064,3.796389,-2.309377,0.241934,0.687727,-0.292685,1.456353,0.088858,-4.776679,-0.647347,0.058398,-1.253288,2.201979,0.663843,-3.888841,0.630796,3.750945,-0.600223,-1.948037,0.466815,-1.1956,-1.160223,3.638341,2.677663,1.901518,0.494341,-0.463552,2.360769,-2.04007,0.024762,2.068435,-0.897857,-2.59941,2.96337,0.513765,2.142748,0.229017,-1.494709,-1.116972,4.987169,-2.820702,-0.206533,4.157336,0.883392,-3.545028,1.700411,1.041104,-0.790984,-0.368202,-0.617243,-5.792939,3.790124,-3.371692,0.897028,-2.401708,-0.591183,2.195532,2.466789,2.16118,3.849924,-3.190592,2.919351,-0.40574,4.956499,4.464874,-1.909666,4.597473,-0.506176,2.968479,0.652526,2.886078,-2.747034,2.721903,2.215503,2.289842,-3.472297,0.915697,2.728798,1.88911,-0.08589,0.186254,-4.494592,2.469505,4.195372,3.605662,2.543436,5.365142,2.752113,4.49887,1.730357,1.898528,-3.057626,2.736173,1.278139,3.683642,3.486809,-0.836779,6.150412,6.594476,1.787046,2.184888,2.91459,4.736487,4.156312,2.858181,3.090925,3.913023,0.560902,0.783555,3.841663,1.236888,2.833469,1.841274,1.221053,2.374812,1.839148,2.154204,0.535191,6.153142,1.106026,-6.185479,-3.362014,-1.983572,-1.771079,-6.103277,-3.123769,-6.470672,-2.693694,-2.848428,-1.428516
89,0.023681,-0.933606,-0.789168,-1.159175,0.470893,-0.944924,1.769601,1.519983,-3.076245,1.353836,0.470945,-4.056793,-5.24698,0.399764,1.35213,-0.743552,0.01028,-2.687121,-0.886987,-0.503591,4.111632,2.544279,-0.467502,3.929111,-3.702661,0.003111,-0.99172,0.763743,2.507638,1.52648,-1.579996,1.716807,1.560156,2.210918,0.992825,0.424908,0.738503,1.336662,0.9209,0.764873,-3.255519,0.858276,-2.159982,-1.646301,2.280251,0.339949,2.199402,1.268292,0.040732,3.452475,2.058001,1.156882,1.770341,1.795907,1.169222,4.146634,-0.377177,-0.351407,-0.780312,-1.355295,-2.564808,-4.123176,-2.556529,-2.234758,2.088704,0.33043,0.740975,-0.886196,1.64847,0.768324,1.575295,2.134039,-1.443759,-4.61702,3.464823,-2.761303,0.174076,-0.423196,0.027465,1.381924,0.270273,-5.205306,-0.741843,0.817148,-1.296211,1.873522,0.41259,-4.24453,0.800021,3.330502,-0.097619,-2.361581,0.580183,-0.965286,-1.766638,3.446465,2.590265,1.676109,0.505302,-0.251607,2.244875,-2.469961,0.53935,2.546207,-0.526564,-2.627819,2.732009,0.374202,1.965851,0.386228,-1.590102,-1.615462,4.878251,-3.080564,-0.481235,4.069255,0.744071,-3.291001,1.906334,1.243359,-0.781644,-1.177388,-0.139277,-5.413082,3.635397,-3.292733,0.30494,-2.993846,-0.462198,2.433405,2.908839,1.582209,4.067051,-2.507704,2.826179,-1.060189,4.597013,4.559821,-1.371591,4.615925,-0.564239,2.821931,0.464171,2.610237,-3.374602,2.409307,1.967448,1.909858,-3.651357,1.098116,2.632719,1.379061,0.104943,0.400098,-4.727934,2.407071,4.054317,3.873153,2.571378,4.949462,2.526441,4.517895,1.160867,1.46758,-2.924541,2.357606,0.931702,3.800211,3.598402,-0.595595,5.980738,6.515437,2.512571,1.685759,3.060622,4.718288,4.279986,2.646647,2.921895,3.481997,0.400419,0.649183,3.999524,1.639419,2.714185,1.667866,1.517603,2.27239,2.345714,1.999756,0.072942,5.945741,0.577501,-5.381269,-3.67136,-1.412097,-1.572791,-7.006614,-2.615458,-5.991048,-2.243928,-3.050305,-1.798616
90,0.009749,-0.566153,-0.804977,-0.76775,0.449032,-0.652383,1.722495,1.706069,-3.056868,1.319531,0.743349,-4.0,-5.098104,0.270878,1.549895,-0.81844,0.174574,-2.32234,-0.92719,-0.897883,4.304357,2.604661,-0.407753,3.926064,-4.278213,-0.049439,-0.971236,1.020526,2.468091,1.629752,-1.573975,1.477324,1.37194,1.930047,0.896303,0.340185,0.885936,0.939291,0.637544,0.589487,-3.380347,0.929204,-2.094071,-2.086626,2.401736,0.14135,2.430237,1.24526,0.13714,3.544002,2.04448,0.711726,1.240238,2.030295,1.361434,4.059675,-0.608951,-0.48712,-0.67329,-1.435292,-2.588192,-4.069675,-2.52283,-2.475112,2.126459,0.303047,1.128653,-0.744183,1.57003,0.569471,1.583297,1.892012,-1.683573,-4.626945,3.523861,-2.629043,0.171674,-0.125975,0.004315,1.740488,0.03374,-4.906743,-0.466264,0.626161,-1.243757,1.877891,0.624949,-4.249243,1.047147,3.420786,-0.217665,-2.243392,0.4288,-1.288242,-1.379734,3.610442,2.804472,1.760466,0.461037,-0.417352,2.299695,-2.573694,0.183875,2.070693,-0.625931,-2.59388,2.844035,-0.104022,2.213193,0.10521,-1.072012,-1.64669,4.942386,-2.820663,-0.653107,4.252113,0.621198,-3.422145,1.795234,0.990715,-1.016433,-0.970857,-0.62341,-5.126523,3.815996,-3.397584,0.289024,-2.664693,-0.609581,2.509732,2.789461,1.680117,3.886141,-2.864376,2.91026,-1.061256,4.505492,4.687836,-1.800418,4.804809,-0.615636,3.25881,1.058058,2.600966,-3.675271,2.513408,1.992034,2.016587,-3.765199,0.693619,2.607586,1.442203,-0.125952,-0.26722,-4.693509,2.063046,3.724231,3.600517,2.443987,5.120487,2.779019,4.581832,1.31163,1.817351,-3.121183,2.460844,1.35178,4.064685,3.474609,-0.686331,5.854429,6.645898,2.052154,1.90673,2.879202,4.904022,3.93644,2.876343,2.810789,3.765082,0.177932,0.558056,4.032238,1.547871,2.779069,1.32886,1.09881,2.334379,2.057568,2.178854,0.19277,6.120689,1.303143,-5.910865,-3.441941,-1.970171,-1.050537,-6.806901,-2.222218,-6.04992,-2.7498,-2.857971,-1.759183
91,0.021811,-0.954599,-0.648799,-1.33375,0.33477,-0.905656,1.977165,1.475789,-3.115991,1.921096,0.538737,-3.514383,-4.239807,0.499315,1.315315,-1.20058,0.225427,-2.714899,-1.191748,-1.074923,4.152815,2.763526,-1.539244,3.739519,-4.164963,-0.229115,-1.833606,0.970302,2.477076,1.979938,-2.030508,1.509023,1.461177,1.950613,1.403142,0.378758,0.939336,0.890554,0.480775,0.514923,-4.018031,0.664972,-2.139059,-1.995338,2.406389,0.261651,2.35065,1.058998,0.213132,3.695363,2.343755,0.726479,1.230731,1.80776,1.192998,3.793911,-0.172671,-0.427317,-0.819816,-1.180297,-2.56679,-4.135537,-2.291159,-2.410974,1.865427,0.768644,1.389289,0.223533,1.725166,0.514993,1.43328,2.18835,-1.332427,-5.130978,3.568913,-2.375654,-0.146138,0.154678,-0.202968,1.749795,0.159101,-5.018301,-0.197099,0.530155,-0.768418,1.920663,0.47321,-3.966527,0.860375,3.576328,-0.439824,-1.863285,0.171631,-1.319455,-1.482391,3.347284,2.605169,1.92434,0.619584,-0.284019,2.22652,-1.927367,0.36931,1.677934,-0.591297,-2.653368,2.602443,0.568981,1.984545,0.374838,-1.360473,-1.034943,5.198095,-2.826839,-0.344076,4.076444,0.87893,-3.180359,1.831646,1.295283,-0.720937,-0.5144,-0.279913,-5.746004,3.735993,-2.819509,0.146585,-3.239767,-0.602087,2.129471,2.823124,2.161202,4.142521,-2.498873,2.966997,-1.181754,4.62746,4.333127,-1.734274,4.267995,-0.792775,2.8336,0.577763,2.781056,-3.135725,2.846779,2.366619,1.943625,-3.49166,0.565121,2.114648,1.505805,0.158797,0.374422,-4.696581,2.463778,3.999933,3.727729,2.218637,5.014523,2.973752,4.041925,1.473523,1.987925,-2.638836,2.70939,0.983768,3.796881,3.595937,-1.021201,6.249324,6.27866,2.087686,2.186048,3.034806,4.597958,4.149407,3.017414,3.054765,3.951476,0.482052,0.820657,3.908209,1.114229,3.005724,2.127097,1.167091,2.316159,2.221456,2.091864,0.195104,5.656184,1.147512,-5.507458,-3.917115,-2.28002,-1.870398,-5.970535,-3.095369,-5.865911,-2.777527,-3.177209,-0.976823
92,0.009512,-1.198025,-0.603069,-1.26575,0.299617,-0.864972,1.916933,1.058647,-3.07328,1.33794,0.606652,-4.178914,-4.939159,0.677586,1.406848,-0.77972,0.040231,-2.887951,-0.627544,-0.827129,4.286988,2.674031,-1.751547,3.950008,-4.267929,0.21436,-1.011348,0.864797,2.524734,1.798407,-1.872582,1.698654,1.348239,2.40022,1.32876,0.274155,0.815,0.805327,0.831716,0.756289,-3.506518,0.983176,-2.133245,-1.909828,2.423304,0.604762,2.085956,1.09426,-0.496335,3.430436,2.190103,1.406809,1.670847,1.746079,0.968599,4.150799,-0.410742,-0.345247,-0.885385,-1.43311,-2.59646,-3.658201,-2.481191,-1.732918,2.014968,0.39365,0.643215,-0.962789,1.792586,0.899524,1.450073,2.20888,-1.497463,-4.766735,3.597971,-2.397383,0.144632,-0.083501,-0.648786,1.529888,0.225277,-5.283318,-0.815398,0.307329,-1.060597,2.005417,0.462477,-4.066335,0.567331,3.282104,-0.270269,-2.051154,0.333515,-1.06706,-1.610919,3.402786,2.595525,2.02091,0.399707,-0.156112,2.257097,-2.455324,0.298247,2.424635,-0.614066,-2.644292,2.828019,0.560234,1.818903,0.327327,-1.679825,-1.408469,4.979899,-3.122451,-0.199215,3.996099,0.927827,-3.016423,1.76972,1.234408,-0.601611,-0.961448,-0.200495,-5.870777,3.470055,-2.602132,0.505401,-3.342969,-0.471227,2.467583,2.693475,2.171919,3.983178,-2.365364,2.772802,-0.578804,4.730892,4.532462,-1.685277,4.496212,-0.515215,2.778907,0.291527,2.774363,-3.048925,2.265812,2.323078,2.091205,-3.321121,0.907565,2.597691,1.69753,-0.140597,0.423632,-4.726581,2.652372,4.05863,3.960548,2.744897,5.090878,2.620195,4.353544,1.672482,1.697196,-2.548853,2.333409,1.220869,3.794415,3.537403,-1.176949,6.201121,6.580572,2.306698,2.063116,2.646315,4.650174,4.003133,2.726836,3.190682,3.661395,0.520923,0.670792,3.736996,1.329674,2.689988,1.879626,1.19301,2.389447,2.178178,1.612139,0.607607,5.783795,0.569235,-5.751731,-3.458524,-1.793588,-1.555411,-6.206943,-3.229001,-6.611659,-2.730337,-2.7195,-1.268762
93,0.029853,-1.169692,-0.845632,-1.201977,0.345196,-0.868174,1.830695,0.972519,-3.074705,1.504076,0.639235,-4.330812,-4.920973,0.438122,1.374686,-0.641659,0.536922,-2.623307,-0.42749,-0.838935,4.414968,2.87383,-1.487163,4.022463,-4.034004,0.489594,-1.157462,1.378629,2.646926,1.761424,-1.532919,1.664335,1.206976,2.179992,1.34287,-0.043487,0.730959,0.460858,0.732631,0.959555,-3.309383,1.209272,-2.149279,-1.712274,2.426301,0.703187,2.268511,0.912406,-0.939917,3.317848,1.979468,1.217767,1.775358,1.825334,0.950035,4.268869,-0.380258,-0.086125,-1.069192,-1.477138,-2.615487,-3.965243,-2.61817,-1.388217,2.295162,0.221436,1.225845,-0.920342,2.015095,0.914314,1.509003,2.276756,-1.376762,-4.131863,3.737903,-1.910866,0.149228,-0.586146,-0.005717,1.820954,0.238886,-5.263966,-0.048891,-0.056063,-1.312217,1.865926,0.70625,-4.227787,0.294645,3.692457,0.402117,-2.892842,0.288421,-0.955029,-1.405438,3.199361,2.298998,2.075375,0.250911,0.060189,2.390246,-2.446297,0.007534,2.61852,-0.405722,-2.61301,3.014016,0.726613,1.926079,0.308454,-1.792191,-1.107227,4.803236,-3.202352,-0.217915,4.052619,0.763721,-2.493684,1.791425,1.291203,-0.51175,-1.160486,-0.772849,-5.715876,3.705513,-2.843062,0.607318,-3.159893,-0.36094,2.551955,2.985824,2.009382,4.148298,-2.132582,2.921227,-0.250316,4.679865,4.914912,-1.550868,4.806107,-0.485797,2.847219,0.386021,2.772161,-3.606387,2.660973,2.397729,2.070675,-3.512223,0.671239,2.534489,1.410344,-0.373077,0.112456,-4.826049,3.055706,4.172774,4.134748,3.110889,4.88747,2.754913,4.139463,1.394611,1.854384,-2.474755,2.373616,1.264242,3.776812,3.651377,-1.24509,5.954166,6.70089,2.355288,2.000105,2.86024,4.91886,4.132743,2.86358,3.327808,3.808987,0.375781,0.504198,4.266451,1.491614,2.893964,1.593514,1.466755,2.427337,2.389853,1.772257,0.51496,5.628965,0.752218,-5.303367,-4.300325,-1.657808,-1.47848,-6.813269,-2.818755,-6.3516,-2.997742,-2.848041,-1.329548
94,0.012805,-0.807799,-0.638839,-1.116794,0.590196,-0.779915,1.692757,1.40894,-3.152461,2.162632,0.385029,-4.332986,-4.475288,0.405896,1.451076,-0.871588,0.100064,-2.304879,-0.759856,-0.839352,4.209835,2.721306,-0.836006,3.894604,-4.611209,0.054743,-1.666149,1.137795,2.610951,1.752945,-1.518945,1.564319,1.192765,2.15973,1.351661,0.011469,1.001933,1.218283,0.337419,0.996328,-3.572408,0.74469,-2.177967,-1.574035,2.561019,0.394493,2.234364,1.094912,0.338294,3.501326,2.229554,1.307936,1.661134,2.012057,1.15375,4.088225,-0.002718,-0.374069,-0.756494,-1.496485,-2.68183,-4.413994,-2.590762,-2.349796,2.068893,0.489197,1.004498,0.088077,1.644042,0.653392,1.357574,2.220364,-1.719043,-5.82046,3.864216,-2.503046,-0.128908,0.340491,0.003052,1.527487,0.148347,-5.526921,0.04422,0.431871,-1.064861,2.175771,0.455129,-4.194709,0.691645,3.804264,-0.299986,-1.822451,0.225034,-1.419585,-1.210401,3.600056,2.556967,1.847049,0.385179,0.109673,2.421412,-1.868929,0.233261,2.219352,-0.674993,-2.700469,2.904812,0.397146,1.924268,0.173328,-1.559402,-0.956817,5.103616,-3.321205,-0.297116,4.28001,0.679249,-3.253989,2.061818,1.298158,-0.797389,-0.62685,-0.282443,-5.578462,3.842935,-3.346154,0.573245,-2.863973,-0.500547,2.302822,2.705269,1.902747,4.395023,-2.915164,2.718497,-0.659442,4.871101,4.730118,-2.091456,4.537776,-0.686509,3.013238,0.657328,2.734036,-3.253503,2.692418,1.993395,1.775088,-3.576439,0.373833,2.858437,1.417431,0.054833,0.542706,-4.625295,2.632449,4.128407,3.686669,2.878704,5.069371,2.904736,4.396919,1.76449,2.021607,-2.483356,2.333489,1.34882,4.006497,3.567465,-0.990429,6.073938,6.762787,2.011846,2.11243,2.747924,5.345978,4.109896,2.872691,3.285664,3.831863,0.024501,0.772632,4.023108,1.675359,2.753939,1.678115,1.123464,2.713822,2.073671,1.860138,0.400095,6.137793,0.838965,-6.137099,-3.971994,-1.613567,-1.140138,-6.889063,-2.961407,-6.631984,-3.120781,-2.71042,-1.102716
95,0.012252,-0.402113,-0.650871,-1.067362,0.562199,-0.620406,1.941543,1.067368,-3.014182,1.702353,0.708128,-4.131404,-4.359493,0.420189,1.510719,-0.785397,-0.584763,-2.576925,-0.64916,-0.666149,4.077336,2.763267,-1.045588,3.943727,-4.329926,0.058009,-0.830691,0.887345,2.251166,1.626568,-1.165002,1.349001,1.203863,2.075212,0.936163,0.385584,0.865596,1.387929,1.008899,0.78147,-3.154882,1.037174,-2.092926,-1.53795,2.407661,0.124554,2.376439,1.02143,-0.045468,3.223196,2.216167,0.979607,1.408696,1.880988,1.274705,3.811904,-0.13796,-0.19965,-0.761183,-1.478559,-2.556417,-3.965059,-2.555264,-1.899163,2.047207,0.255658,1.150555,-0.784822,1.628902,0.665229,1.400054,2.044149,-1.819373,-4.943037,3.728204,-2.462458,-0.0613,-0.120893,-0.555118,1.617035,-0.040228,-5.231684,-0.260834,0.282038,-1.101528,2.064559,0.707832,-3.853766,0.708889,3.623921,0.018663,-1.59893,0.321947,-1.202627,-0.872603,3.389547,2.267589,1.839506,0.377763,0.02438,2.40372,-1.90811,-0.162858,1.994756,-0.3921,-2.585377,2.636807,0.189582,2.169796,0.255839,-1.117892,-1.586511,4.850613,-2.840282,-0.216633,4.05645,0.750876,-3.079327,1.639851,1.114258,-0.925788,-0.787102,-0.605504,-4.789173,3.095989,-2.991775,0.609008,-2.663034,-0.546674,2.134089,2.905104,1.992288,3.614166,-2.619733,2.638097,-0.292981,4.531228,4.625035,-1.88095,4.702303,-0.009773,3.065013,0.797195,2.547619,-3.102567,2.716664,1.937544,1.982613,-3.283271,0.831418,2.611773,1.630117,-0.300164,0.268175,-4.561403,2.194277,3.970278,3.198571,2.326269,4.854455,2.756131,4.540003,1.482358,1.979689,-2.758264,2.579877,1.341108,4.069271,2.947168,-0.217309,5.890802,6.351023,1.931403,2.216879,2.828536,4.827376,3.990671,3.020387,2.937502,3.953559,0.230209,0.798032,3.547544,1.652556,2.705134,1.566947,1.080268,2.52296,2.225327,2.201194,0.676076,5.881502,1.290447,-6.324707,-3.326279,-1.430367,-1.774541,-6.160468,-2.555147,-5.587083,-2.926636,-3.095323,-2.061242
96,0.041399,-0.761427,-0.81253,-0.799967,0.475691,-0.984305,1.800935,1.033898,-3.074997,1.762475,0.649803,-4.527349,-4.602703,0.768218,1.27305,-0.663293,-0.130036,-2.624445,-0.898492,-0.517983,4.184248,2.749098,-1.005718,4.009149,-3.874128,-0.099615,-1.145565,0.864291,2.642599,1.744817,-1.655677,1.841725,1.417454,1.981476,1.026367,0.329429,0.862293,1.235055,0.846652,0.920432,-3.27179,0.963744,-2.106013,-1.730474,2.590605,0.257912,2.181071,1.092609,-0.240915,3.396998,2.164144,1.02245,2.032479,1.521228,1.214088,4.075421,-0.167024,-0.194204,-1.10695,-1.163928,-2.602831,-4.059276,-2.657759,-2.082323,2.17943,0.457022,0.696402,-0.729369,1.702096,0.616934,1.456491,2.147709,-1.395114,-4.811548,3.620554,-2.639206,0.275262,-0.199041,-0.176379,1.591198,0.214717,-5.253445,-0.21146,0.131473,-1.02868,1.822599,0.618004,-4.223672,0.473951,3.509593,0.067204,-2.216156,0.299731,-0.614905,-1.675703,3.290849,2.432857,1.713838,0.509881,0.129524,2.252412,-2.012535,0.403693,2.463706,-0.306683,-2.700038,2.643462,0.142785,1.779947,0.455229,-1.541133,-1.296374,4.785425,-3.400234,-0.592001,3.966477,0.897474,-2.913102,2.04016,1.433775,-0.627721,-0.826237,-0.423219,-5.226183,3.520829,-2.844375,0.278483,-2.940348,-0.369987,2.284784,2.958883,1.931724,4.145909,-1.869952,2.684716,-0.946326,4.319463,4.805765,-1.405075,4.65003,-0.339964,2.735099,0.342958,2.620654,-3.30531,2.579454,2.241622,1.873235,-3.465039,0.839841,2.328635,1.440165,-0.230562,0.463971,-4.743113,2.436729,3.890304,4.035411,2.516629,4.793858,2.648635,4.117018,1.324051,1.563543,-2.690513,2.236823,1.121404,4.069531,3.586382,-0.85076,5.655619,6.688446,2.366074,1.851775,3.26527,5.04613,4.259133,3.003205,2.885443,3.8726,0.419197,0.802149,4.003128,1.221849,3.022317,1.548796,1.362459,2.123008,2.352335,2.136818,0.231975,5.589907,0.768574,-5.069276,-3.683996,-1.854038,-2.149703,-6.757631,-2.488834,-5.476088,-3.03938,-2.990815,-1.562043
97,0.012313,-0.886068,-1.203266,-0.733967,0.512171,-1.131159,1.445126,1.191366,-3.168964,1.980892,0.686635,-4.58987,-4.515231,0.233855,1.419374,-0.869431,0.547585,-2.369448,-0.508767,-0.885664,4.321361,2.610768,-1.162328,4.039773,-4.498737,0.112466,-1.984423,1.072696,2.810472,1.972674,-1.393148,1.851943,1.279224,1.820174,0.775834,-0.315904,0.922241,0.817048,0.464892,0.966332,-4.010119,0.824756,-2.144838,-1.891114,2.602405,0.272127,2.193307,0.896939,-0.310342,3.257763,2.101131,0.931159,1.535615,1.658146,1.010514,4.301131,-0.770911,-0.441328,-0.914792,-1.260663,-2.715689,-4.498188,-2.69392,-2.196411,2.198485,-0.023767,1.026174,-0.297431,1.741352,0.529632,1.641201,2.150157,-1.721575,-5.228738,3.733412,-2.527895,0.083212,-0.416972,0.158718,1.662147,0.007403,-5.244472,0.320324,0.117076,-1.078014,1.709264,0.815834,-4.586515,0.745399,3.633978,0.01649,-2.10206,0.254793,-1.199393,-1.313648,3.19585,2.424478,1.800383,0.341053,-0.006679,2.299614,-2.2465,0.273704,2.567808,-0.317131,-2.736121,2.789102,0.310839,1.969121,0.0384,-1.874713,-1.253363,4.88923,-3.594465,-0.928837,4.234986,0.778481,-2.930778,2.047765,1.52555,-0.524997,-0.982051,-0.516426,-5.626369,4.056035,-3.03322,0.357873,-3.170469,-0.428923,2.487357,3.476557,1.849943,3.931496,-2.189636,2.947797,-0.660975,4.473579,5.003552,-1.76467,4.946192,-0.283216,3.034272,0.848765,2.581622,-3.897392,2.588495,2.169749,1.82558,-3.496339,0.496525,2.642831,1.55816,-0.420559,-0.005017,-4.903649,2.550874,3.717271,3.816955,2.611958,4.716929,2.925478,4.265893,1.407896,1.893375,-2.512824,2.026689,1.714791,4.3459,3.316525,-1.254555,5.518204,6.936994,2.281469,1.954704,2.822999,5.021484,4.29648,2.821495,2.929839,3.85732,0.29309,0.560529,3.975808,1.555947,2.761512,1.41126,1.254001,2.087873,2.847301,1.879578,0.64594,5.746465,1.16691,-5.355827,-3.498791,-1.339014,-1.527478,-6.64637,-2.547982,-5.741266,-3.325525,-3.370896,-2.050994
